program,acad_course_macro_garima_score,acad_course_acc_nimisha_score,acad_course_corpstrategy_vipin_score,acad_course_stratlead_manu_score,acad_course_stratlead_vipin_score,acad_course_prod_ashank_score,acad_course_finmodel_pranav_score,acad_course_mktres_bhupesh_score,acad_course_b2b_rajan_score,acad_course_category_sahil_score,acad_course_prodanalytics_shravan_score,acad_course_productlab_fenil_score,acad_course_python_tushar_score,acad_course_design_nikunj_score,acad_course_leadership_rajat_score,acad_most_impact_comment,acad_relevance_score,acad_overall_nps,acad_feedback_comment,outclass_preseed_confidence_score,outclass_content_clarity_comment,outclass_overall_nps,outclass_feedback_comment,careerprep_guidance_score,careerprep_confidence_comment,careerprep_overall_nps,careerprep_feedback_comment,careerservices_overall_nps,careerservices_feedback_comment,masterrelations_guestfavorite_comment,masterrelations_feedback_comment,studentaffairs_engagement_score,studentaffairs_grievance_score,studentaffairs_value_comment,studentaffairs_overall_nps,studentaffairs_feedback_comment,tech_careercoach_score,tech_careercoach_comment,tech_mentorunion_score,tech_mentorunion_usefulness_score,tech_mentorunion_comment,tech_lms_score,tech_lms_comment,program_overall_nps,program_nps_reason_comment,program_positive_comment,program_fix_comment
TBM,9,8,10,10,9,10,,10,,8,,,,,9,Ashank Bhandari - Product Management 102,9,9,"For most of the core subjects, we get the quiz (not end-term) results after the term is over. If the results are shared within same week, it'll help students improve on particular topics.",9,Not applicable to me,7,"VIP's sequence is Pre-Seed challenge followed by MVP, I was surprised that the grants/awards in the Pre-Seed Challenge were awarded primarily to teams already generating revenue. While I truly appreciate the performance of those teams, I wonder if Pre-Seed funding might be more impactful when allocated to promising early-stage teams who need capital to build their MVP. That would align more closely with the intended progression of the program. Sharing this in the spirit of strengthening the structure and impact of VIP",8,"Even after getting 90+/100 score on my resume, I've never got a single shortlist in any companies that I've applied. So, overall I don't feel confident enough",6,Not answered,6,Not answered,Didn't attend much CXO sessions as most of them were not from my preferred domains,Not answered,8,7,Dinner with Pratham—an amazing experience filled with valuable business insights,7,Not answered,6,"Improve the mobile version of the career coach. Most of the times, I'm unable to apply jobs from phone",9,9,Not answered,8,Not answered,8,Single biggest reason for the score is Academics - Overall a great experience,Amazing faculties in Term3,"MU’s Current Situation & Misalignment At Masters' Union, the institutional ethos is clear with ""Entrepreneurship-first approach"" & ""Learn by doing"". That vision is inspiring and differentiating. However, there is a practical misalignment. While the brand and philosophy emphasize venture-building, 70–80% of students are not immediately positioned to start their entrepreneurial journey post-PGP. Many need financial stability, industry exposure, domain depth, or simply time before taking entrepreneurial risk. The majority of students depend on strong career outcomes. In this situation, Career Outreach should function as a strategic backbone of the institution. Instead, there are repeated instances of: 1) Fake Job listings being posted without verified recruiter confirmation 2) Students applying and receiving no response 3) No clarity on whether roles are active, closed, or even real 4) Data being shared without verifiable backing If I were in Pratham’s position, the first thing I would immediately fix is the lack of accountability within the Career Outreach team. Right now, the biggest issue is not placements, it is the absence of measurable accountability. Because nothing is measured transparently: 1) There is no incentive to ensure recruiter responsiveness 2) There is no ownership of unresolved student concerns 3) There is no performance pressure to improve quality of listings Students are losing trust in the system. Without accountability metrics, the Career Outreach team operates without clear responsibility for outcomes. How I Would Fix It: Outcome-Based KPIs with Public Transparency 3 mandatory metrics tracked monthly: 1) % of job listings with verified recruiter confirmation (At least 90% of posted listings must have confirmed recruiter validation within the last 14 days) 2) Average recruiter response time (target under 7 days for first-level response) 3) % of applications receiving first-level response (70–80% of applications should receive a first-level response, i.e., interview/rejection/screening acknowledgment) This pushes the team to track application pipelines, Follow up actively, & maintain recruiter relationships Students should not feel like their applications disappear into a black hole. If we define measurable, outcome-based KPIs and publish them transparently every month, the Career Outreach team at Masters’ Union will transform from a reactive department to a performance-driven one."
TBM,9,,9,6,9,10,,10,,6,,10,,8,10,Rajat Mathur Sir and Bhupesh Sir . Both courses were extremely detailed and hands on and something that would help in future also. Very useful .,10,10,My scheduling was messed and a lot of classes had clashes which impacted the learning but still the professors and content. was very good.,7,I did not opt for it . But what I have heard is that it is more of a burden for my classmates than a learning .,7,Nothing as such . Just keep supporting us .,9,"yes , the 1:1 sessions are also good",7,Not answered,5,Not answered,I just attended one session of Negotiations and that was very good.,Not answered,3,10,"Flock hostel party good but I miss a full fledged campus . It's either class or hostel . With people starting to leave , it feels empty.",7,Not answered,7,Not answered,10,10,Not answered,10,Not answered,8,"Faculty and Learning experience . I deducted 2 marks for the lack of one integrated campus , bad cultural fest and quality of peers .",Very hands on courses with great faculty . Special shoutout to Ashank sir and Rajat Sir other than obvious Bhupesh Sir .,I would build a campus quickly with in premise hostel . It will increase collaboration and hustle culture.
TBM,10,7,10,8,9,,9,10,,,,,,,10,"1. Rajat mathur - Real world scenarios, stories, we got to live through his professional journey 2. Bhupesh - Market research course was very good, understood and applied a lot of things 3. Garima - Macro, short duration but learnt a lot. Would've loved it if it was 20 hour course",9,8,Take detailed feedback of at least 20% of the batch before discarding a course. I felt entrepreneurial finance could've been a good course,7,"Yes going great so far Haven't had time personally to consistently post, but the expert is pretty insightful",8,Not answered,8,"Yes, Gopika's sessions have been quite helpful. Focos CEP was good, could've been longer in terms of session, and maybe a capstone project at the end instead of the assignment",10,Not answered,9,Seek feedback from recruiter for candidates who didn't get through,Behavioural focussed session by Gopika,Not answered,10,10,"Club activities and events, Unmute, working with student affairs",10,Not answered,6,"Lot of glitches with placement portal, needs improvement, search bar, and filter options are still pending",5,5,"Need stricter penalties for mentors who don't show up, have wasted a lot of time in the last few tries",8,"slow reload, still can't take tests on coach",9,"Student experience, working with leadership, few courses","Academics, Student experience, working with student council","Students having access to leadership more often will really boost the morale of cohort. We have witnessed this in multiple instances, where any minor interaction with the leadership leads to massive confidence boost in students. I would get all directors and AD's listed on mentor union, and allow students to book 1:1 sessions with them. Just 3-4 hours per week also works, someone aiming for marketing role can seek guidance from Tara, someone seeking strategy role can speak to Salil, Founder's office from Anand or Gautam etc"
TBM,10,5,10,,,10,,8,,,10,,,7,10,Product Management 102 - Ashank Bhandari Exceptional Lectures,7,8,Not answered,9,No opted for Content Creation Challenge,9,"Instead of just presenting to Alumnus, we could have had 1-1 feedback and guidance from them on how to make further progress",9,"Not much, could have 1-1 sessions, domain specific interview and prep setups. Feedback on why resumes are not getting shortlisted and even after interviews, what's working out and what is not",7,Not answered,6,"No update on all the companies we're applying for, there's no update if company backed out, rejected resume, no longer hiring, nothing.","Prof Ashank Bhandari's classes were the highlight for me for this term. The way he explained such complex topics with great ease, connecting everything in fun way to movies and cricket references was exceptional. His delivery and presence was extremely strong and impactful.",Not answered,6,8,"working on ODCs, MR for VIP, familiar brands and real problems to work on",9,Not answered,6,"Too chaotic, too many things, very lengthy path to access anything. Also new update on attendance scanner takes and extra step and is worst",9,9,Not answered,8,Not answered,7,"A few subjects felt too slow and unworthy of the bid, but otherwise, almost everything went smoothly. There are no updates or clear communication, and the job opportunities are disappointing. We also sympathise with instructors, but it is unfair to call us worthless every day. Hearing all of this in nearly every class at 9 a.m. is just too draining.","letting students keep extra sessions for better understanding, encourage more of it, please ask those with more experience to take on charge (really enjoyed Rithik's Performance marketing classes, and was well delivered for beginners(","Better scheduling of exams and quizzes, all the evaluating assignments for all the subject in term3 happened all at the same time. If any particular subject has quizzes then it should be spread out across entire terms rather than all happening in the last week. Same with assignments and other things."
TBM,3,,10,,,,,6,,,,,,2,10,"RAJAT MATHUR - the best professor till date, he genuinely made decision making incluxate in mind in structure",7,6,The academic director should not teach or vice versa A student would never complaint about anything to his professor but academic director yes,7,Didnt opt for the course,3,Not answered,0,"Career prepr has had 0 impact on me, their only task was to get my resume done, everything else, they have wasted my time, could have done that on get prep",0,Not answered,7,Not answered,Rajat Mathur - That man had changed me in 20 hours through his teachings and case studies.,"MAKE IT ACTIONABLE collaborate with clubs and treat cxos like evtna, the clubs should make some good workshop concept note and get distribution and the master relations should get the cxo and vice versa this sutem incentives all the larties. For the clubs you xan give them some perks, or closed door dinner eith the cxo later",7,8,"The board room debate l, I think by edtech club",8,Not answered,7,Not answered,8,9,Not answered,8,Not answered,7,IfI think about all the arenas at some point of time 1 was working so on an average it was a good term,"No alums teaching, important subjects","I'll make the academic director not teach anything but just handle operations like he actually should be doing, not teach for like 40 hours a week. Then the system will inprove itself"
TBM,10,,10,10,,,10,10,,6,,,,,10,Financial modelling - pranav dedhia sir and leadership lab -rajat mathur sir,8,8,Not answered,8,Did not opt for content creation,8,Not answered,7,Yes Career Prep made you feel more confident in terms of preparing for placements,8,Not answered,8,Not answered,"Leadership lab , financial modeling, market research",Not answered,8,8,Market research and leadership lab,8,Not answered,8,Not answered,8,8,Not answered,8,Not answered,8,Good professors was the single biggest reason for my score,Bhupesh sir and rajat mathur type of professors,Cant think of anything right now
TBM,8,8,10,10,10,,10,10,,,10,,,,10,"The courses that had the most impact on me were Financial Modeling by Pranav Dedhia sir and Product Analytics by Sharavn Tickoo. Pranav Dedhia sir’s approach to teaching financial modeling really stood out. He explained concepts in a very simple and clear way, and what I appreciated most was that he never moved ahead if even one student was stuck. For someone like me who did not have a strong background in financial modeling, this made a huge difference. His classes were practical, engaging, and extremely helpful. Even the assignments he gave were thoughtfully designed and helped me apply what I learned. Sharavn Tickoo’s Product Analytics sessions were equally impactful. He broke down complex analytics concepts into very simple, easy to understand language. This made the subject much more approachable and helped me build confidence in understanding and applying analytics in real scenarios.",7,5,"I would like to share one suggestion regarding the scheduling of sessions. In this term for Macroeconomics, the first three sessions were conducted in the second or third week of December, while the remaining two sessions were held much later in the third and fourth week of January. This long gap disrupted the continuity of learning. It broke the flow of the subject and made it harder to stay connected with the concepts that were taught earlier. Since this subject had only five sessions and we have six working days in a week, it could have been scheduled within a single week and completed without long interruptions. I understand that this may not always be possible with visiting faculty members due to their availability, but this approach might be more feasible for in house faculty. I believe that minimizing such gaps between sessions would help students maintain focus and get a better learning experience. I would also like to add one more suggestion regarding submissions and deadlines. If a term ends on a specific date, for example 28 January, then all submissions related to that term should also be completed by the same date. This includes projects, one day challenges, macro projects, and even small assignments. When submissions get pushed into the next term, it becomes difficult to focus on the new subjects because students are still occupied with pending work from the previous term. While this may be done to manage workload, it often has the opposite effect and creates unnecessary overlap and stress. I believe it would be more effective if all academic requirements of a term are completed within that term itself, so that students can start the next term with a clear mind and better focus.",9,"I had initially opted for it, but later withdrew to better manage my workload.",9,"Overall, I am quite satisfied with how the Outclass sessions are being conducted. The structure and quality of the sessions have been really good. I have one small suggestion regarding scheduling. In both Term 2 and Term 3, some sessions were scheduled at very short notice. For example, the first MVP demo session this term was scheduled around 36 to 48 hours in advance. It would be very helpful if such sessions could be scheduled at least a week in advance. I usually plan my entire week on Sundays, allocating time for classes, mentor calls, and thesis work. When a session is scheduled at short notice, it disrupts this plan and creates difficulty in managing other commitments. After the first session, the schedule was more aligned, which was great to see. Going forward, having the schedule communicated about a week earlier would make it much easier to plan and manage time effectively.",10,"Yes, Career Prep has definitely made me more confident in preparing for placements. I am someone who regularly develops new ideas and creates basic outlines before discussing them with the Career Prep team. Whenever I approach them with these ideas, they provide very constructive feedback and help me refine my thinking. They also ensure proper follow up whenever something needs improvement or gets stuck, which has been very helpful for me. I often work with tight timelines and sometimes request meetings at short notice. Even then, they make the effort to accommodate me and provide guidance whenever possible. I am overall very satisfied with the support from Career Prep, and I would especially like to mention Vidhu Goel for being extremely helpful throughout this process.",10,"While I am satisfied with most aspects of Career Prep, I would like to share some feedback regarding the A and M touchpoint sessions. My A and M touchpoint took place in Term 3. During the session, I was asked to describe my last six months with a strong opening hook. I assumed this exercise was meant to help with interview preparation. However, I was later told that it was not intended for interviews and was simply an exercise to speak out loud. This left me a bit unclear about the purpose and practical value of the session. I feel that these touchpoints could be made more impactful if they are more closely aligned with upcoming placement opportunities. For example, Career Services usually knows which companies are scheduled to visit in the coming weeks. If this information is shared with the Career Prep team, A and M mentors could connect with students who are particularly interested in those companies and guide them in a more targeted way. This could include suggestions on how to tailor resumes, how to position their experiences, or even how to prepare specific ideas or presentations that align with the company’s business. Such alignment would make the touchpoints more practical and directly useful for placements.",4,"I would like to share feedback in two areas regarding Career Services and Outreach. First, regarding the companies coming to campus. Many of the roles seem to be lateral in nature, especially for positions like Founder’s Office or Strategy, which I understand are often lateral hires in most companies. However, in several cases where I applied to roles that closely match my past experience and domain, I have not received any clarity on the outcome of my applications. While there is a tracking sheet and I can see that it is being updated, it still does not clearly communicate what has happened to many applications. For example, I applied to around ten to twelve companies. I received rejection updates from two of them, but for the remaining applications, there is no clear status. It is unclear whether the application was rejected, not considered, or if the position was closed. In some cases, I can still see the same role being posted publicly, which adds to the confusion. Having more transparent and timely updates on application status would be very helpful. Second, regarding outreach support. Based on the thesis and sector decks I prepared, I was advised to share a list of target companies and was told that the team would help in reaching out. I shared this list some time ago. Since then, I have been following up regularly, but I have not received any concrete update or direction on the next steps. At this point, I feel I have done the necessary groundwork from my side in terms of preparation and clarity on the roles and companies I am targeting. Support from the Career Services team in initiating and managing outreach to these companies would make a significant difference.",Not Attended any CXO Session this time,"I would like to share a few suggestions regarding the Master Relations and CXO sessions. First, while it is great to hear about the journeys and experiences of the CXOs who visit, many sessions tend to focus more on their personal stories rather than deeper industry insights. As students, we are very keen to understand current industry trends, challenges, and practical perspectives that can help us prepare better for specific sectors. Second, since these CXO interactions help build a certain level of trust and familiarity, this could be an opportunity to explore more tangible outcomes such as live projects or internship opportunities for students. This is an area where closer coordination between the Master Relations team and Career Services could create meaningful value. Third, these sessions could be made more targeted. For example, if a healthcare startup CXO is visiting, students who are particularly interested in the healthcare sector could be informed in advance and encouraged to prepare a short deck, insights, or questions. A small group interaction of fifteen to twenty minutes with prepared students could make the discussion much more practical and impactful for both sides.",7,9,"In Term 3, the events and activities that were organized added good value to the overall student experience. At the same time, I was primarily focused on preparing for placements during this term, so I was not deeply involved in many student activities. Because of this, I may not have experienced this aspect as extensively, but the events that did take place were well organized and enjoyable.",8,"I would like to share a suggestion for future batches regarding the scheduling of major student events such as Unmute. I was very keen on attending Unmute this time, but due to placement related commitments, I could not participate. I also know a few of my friends who felt the same. Hosting such a cultural event in February feels a bit late, as many students are either preparing for interviews, involved in internships, or focused on placement activities during this period. It might be more suitable to schedule Unmute in November or December, when students are relatively more free and can participate with greater enthusiasm. Similarly, while cultural celebrations tied to specific festivals will naturally happen on their respective dates, sports activities and other events could be planned earlier in the academic calendar and completed in advance. This period is usually when students begin focusing seriously on placements, so earlier scheduling may lead to better participation and engagement.",8,"I would like to share a few suggestions to improve the Career Coach platform. First, a live application tracking feature within the platform itself would be very helpful, instead of relying on a separate tracking sheet. This would make it easier to understand the real time status of applications in one place. Second, the job postings on the platform can be improved. At times, company websites or detailed job descriptions are either missing or not presented clearly. Ensuring that descriptions are complete and properly formatted would make it easier to read and understand the opportunity. Third, when trying to upload updated resumes, the platform often shows errors or the updated file does not reflect properly. Making this process smoother would be very helpful. Apart from these points, the platform is functioning well overall.",4,10,"I understand that MentorUnion is a relatively new platform developed internally, and overall it is a good initiative. I would like to share a few practical suggestions based on my experience. First, rescheduling sessions is often difficult from the student side. Many times, I have to request the mentor to cancel or modify the session instead of being able to do it myself through the platform. Making rescheduling easier for students would improve the experience. Second, when taking repeated sessions with the same mentor, the platform still requires filling out the same initial form every time. Since the mentor is already familiar with the context and purpose of the sessions, this feels repetitive and unnecessary. This was handled more smoothly in the earlier system, where repeated calls did not require re entering the same information. Third, students currently do not have the option to record MentorUnion calls. Mentors often share very valuable insights that are difficult to note down during the conversation. If recording is enabled with proper consent, such as requiring mentor approval before recording starts, it would be extremely helpful while also respecting privacy. Apart from these points, the overall concept and experience of MentorUnion is positive.",3,"I would like to highlight a concern regarding the reliability of LMS. Quite often, the platform becomes unavailable or very slow, especially when many students try to access it at the same time. A recent example was the online Managerial Accounting quiz, where around 120 students attempted to log in at once. As soon as everyone accessed the platform, it went down. This issue also occurs when faculty upload important materials or problem statements and the entire class tries to access them simultaneously. The platform struggles to handle the load, which creates inconvenience and stress during important academic activities. Improving the platform’s stability and its ability to handle higher traffic at peak times would greatly improve the overall experience for students. Additionally, it would be helpful to have deadline reminders. For example, if an assignment deadline is at midnight, receiving a notification two or three hours in advance would be very useful. While students are expected to manage deadlines, multiple commitments can sometimes lead to unintentional misses, and such reminders could help prevent that.",7,"The biggest reason for my score is that this term was very good in terms of the quality of lectures and overall learning experience. My main suggestions relate to scheduling and timelines. In a few subjects, some sessions were conducted at the beginning of the month and the remaining sessions were held much later. This broke the flow of learning and made it harder to stay connected with the subject. I also feel that if a term ends on a specific date, all assignments, ODCs, and projects related to that term should be completed by then, instead of being carried forward into the next term. Additionally, there have been instances where assignment scores were not uploaded on time. Since many of these evaluations are done through forms or simple submissions, timely updates of scores should be manageable and would help students track their performance better.","What worked best for me this term was the balanced academic schedule, which gave me enough time to focus on multiple areas without feeling rushed. I had good opportunities to connect with mentors, spend quality time on case preparation, and work properly on assignments. The spacing of academic activities allowed me to manage my time effectively, and this is something that should definitely be continued.","If I were in Pratham’s position, the first thing I would fix is the lack of clear visibility around placements. Right now, students do not have a clear idea of which companies are expected to come and when. There are many lateral movements happening, but apart from a shared tracker, there is limited clarity. Given that this is a 16 month rigorous program and placements are naturally challenging, what students really need alongside the effort is clear communication and visibility. By visibility, I do not mean only town halls or general updates. I mean a simple and transparent schedule that shows which companies are expected in the coming weeks. This would help students prepare in a more focused way and also build patience and confidence that opportunities are in the pipeline. To implement this, I would ensure better coordination between Career Services and the teams managing CXO and industry interactions. As suggested earlier, CXO sessions can be used more strategically to bring in live projects, problem statements, or closer engagement with companies. This approach can partially address the visibility issue while also creating more practical engagement opportunities for students."
TBM,10,8,9,9,9,,10,10,,,,8,7,,10,Pranav Dedhia was a master at what he did and his course was thoroughly enjoyed. I loved the People Management and Strategy classes too,9,9,Would love another financial modelling course with more in depth content being provided by the professors,6,Did not opt for the content creation challenge,6,Not answered,9,"Career Prep has been extremely helpful. One ask is to provide interview preparation guides - something that was promised earlier. The team can prepare an enhanced guide on interview questions Post graduates should expect, like how to increase NPS score of users, how to increase prices in the short run, etc",8,Not answered,7,Not answered,"Do not remember thenames, would be great if the team could provide a list of names next time",Not answered,8,9,Overall events were a lot better this term.,8,Not answered,8,"Multiple improvements have been mentioned on the whatsapp group, looking forward to the team to implement this",8,9,Not answered,9,Not answered,9,"Academics were a lot better in term 3 when compared to term 2, helping us build our knowledge and expertise a lot more",Top quality academicians is something we should continue,"I believe the focus of the entire batch is now shifting towards career placements, to improve overall preparedness, I would train students on how they can approach companies on their own and also prepare a lot of study and prep material for students to utilize on their own"
TBM,9,,7,,,,,8,8,,,,,,10,"Rajat Mathur Sir, as he shared the real insights and how effective is this particular course in general",6,5,it could have been scheduled better,1,"nope, i wasn't enrolled as i thought it wont be that relevant",3,"the preseed selection wasn't that great or infact really bad, even the ai generated presentation got the awaerd for best ppt, even when we gave lot of time and effort to our presentation, and also the ideas were lame which got selected, so hope has left for me and many others",6,"yes, gopika mam is extremly good, more such sessions are encourged",8,"it was really good, you guys are giving the efforts",1,"cant' say much, only lateral hiring is going on, almost 1:10 is the ratio is maintained for companies coming to campus and to lateral hiring, and also some of the companies dont even give shortlists, and many more reasons, cant be much more disappointed in them","cant really mention, dr. gopika session helped a lot and also market research sessions were good",Not answered,6,2,"can't say much, it was all fun but not something which added to it",4,Not answered,1,Not answered,1,8,Not answered,1,Not answered,2,"many reason, mostly for career services unable to provide actual on campus opportunities and the pre seed day was one of the major factors for it.",work on the previous things mentioned,"i would shift the focus back to pgp tbm, than from ug tbm and other ug and tetr courses, as this time pgp tbm is going to suffer a lot, as this time, placements aren't looking good, and folks like me who already have come from high ctc are suffering a lot, help us in this particular part."
TBM,10,9,10,10,10,,,10,10,10,,,,,9,Sahil puri - caregory management,10,10,The delivery of courses were amazing,7,Have not opted for it so not applicable,8,More time to students who reach out personally,7,Last mile prep should be less gpt and more personal interaction,8,Not answered,4,Most of the jobs - we didn’t get any steps forward be it shortlist or anything most of them were lateral,All the sessions by vidhu,Not answered,8,9,The socio cultural club’s MU got talent,9,Not answered,9,Not answered,8,9,Not answered,9,Not answered,9,Academics were amazing this term,Feedback was taken on the courses and were improved,"Career outreach, only credible jobs should be posted where there are chances of shortlist"
TBM,9,6,10,10,10,10,,10,9,,9,,,,9,"Ashank bhandari, one of the best faculty I have come across. The way the classes were conducted, the language, professionalism, humour he stood out in every sense. Vipin Sreekumar, much like Ashank but since we know Vipin from term 2, Ashank stood out",9,10,"Excellent turn around wrt courses and faculties compared to term 2. Good pool of electives to choose from, Term 3 was delivered well. Few things to better upon: 1) Managerial accounting classes should get better. Classes felt like read out from script. 2)Pls make sure that recordings are available for all courses. I do understand that few students are taking things for granted and not attending classes but it is impacting learning for students who wants to learn more. At least give recordings to people who are present in class please. Also, it is right of students to have access for recordings since it was committed by college during admissions. 3) during examinations we see that seating arrangements are insufficient in CDS classrooms. Ventilation is low since the classroom is small comparatively for 60+ students, it gets suffocated during 2hr examinations. Can we please have all exams in Tower A and Tower C.",9,Not opted for the content creation challenge,9,Pls share the feedback for per seed challenge to teams who were not selected to final round.,9,"Yes they have helped through mock interviews, mentoring on things to work upon to build resume",9,You are doing great. Honestly it is upto students to get serious and make use of it,9,"Give clarity on which company are coming for campus placement(specific to MU). The cohort is still under the impression that companies will come for MU specific placement and they are not considering lateral placements on serious note. I agree that cohort is not showing seriousness currently, but be candid and say that 75% placement will be through lateral only. Students will start pulling up and prepare better",Shubham Gupta resume session was helpful,Didn’t attend any sessions this term,9,10,Catching up with C5 was the best and Unmute was a good experience,9,Limited interaction but they are doing good.,9,Filter option is not optimised.,9,9,Only one session,9,It is decent enough currently. Few suggestions 1) after term end we will still have submissions to be done but it won’t get reflected in to do list. 2) Announcement option is bad for mobile phone.,10,"Bhupesh sir heard our feedback on term 2 and made sure that term 3 went well. So, thanks to Bhupesh sir for making sure that term 3 was a success. Personally for me, it was Ashank and Vipin’s classes, there were a lot of take homes for me. Bhupesh sir and Garima mam will deliver no matter what. Listening to Rajat Mathur’s classes was something very interesting, I never thought that I can go 5hrs without phone listening to corporate stories. I was amazed by leadership lab sessions on how decisions happens at senior level thinking through the consequences from every corner",Make sure that Ashank teaches product management subjects in every term and every following cohort.,"With all due respect to my fellows cohort members and admissions team, the quality of students in cohort has to be improved. Keep the cohort size same for next 2-3 years. We are going out as a face of Masters union, we will be known as MBA grad from MU for rest of our lives(no one speaks about UG colleges much). It is important to ensure that we get right set of people in and mould them for better bearing MU tags, it is important for MU to sustain on the quality of cohorts because it impacts the senior batches as well. Personally, in current cohort I see 12-15% who are neither serious on VIP or placements. It is impacting other students as well due to less participation across everything. I would suggest one town-hall address from Pratham to ensure everyone pull up their socks."
TBM,9,,9,7,7,,7,7,7,,9,,,,6,"Strategy, MR, Prod Analytics",7,7,NA,8,Not applicable for me,7,"More industry connects for every serious startup. Experts, shape understanding of the business, industry and the competition, some help there would be great.",2,"Despite getting zero shortlists so far, I still haven't been able to identify the core profile bottlenecks and corrective measures thereof, even after multiple ""mentor"" session. If top of the funnel (Interview shortlists) isn't working whats the point of my interview prep?",6,NA,6,"More Fintech companies please. More FOCOS roles, and actual hiring partners rather than Linkedin recycles.","MR - hands down, understandsing consumers like this i had no idea. most of what was taught in other courses was first principles doable, MR was a clear eye opener",NA,6,6,"MR projects, VIP, Strategy courses",7,NA for me,7,"Yeah, please stop changing deadlines from what's initially posted to then changing it later. Same for other job details like CTC and role. I have seen it changed twice myself. Deadline changes after posting once first.",8,8,NA for me. Great platform,7,NA for me,7,"VIP and MR carried it, placement scare is taking away the fun of it. Hearing last year's placement stat in Feb vs this year is concerning and its not the number of roles, lateral roles or roles that never intended to hire from MU (no one's heard back from them) if we take them out, we haven't had many opprtunities.","VIP and MR, To continue: less exam more projects, less siloed, more industry connected. Less classroom networking and more founder interactions.","Placement bottle necks, I talk to everyone in my peer group and its their biggest concern (Gen Man roles are most coveted) Placements, confirmed opportunities and not name sake offers that can count as a stat for next year as opportunities floated. Most of which are not coming back for the shortlist, or are open jobs. Need more companies coming for a campus drive rather than open Lateral roles for which we are competing with people having 7-8 years of experience in the same domain. Gen Man roles are most coveted, more ACTUAL FOCOS roles are needed."
TBM,10,10,10,10,10,,10,10,,,,8,,,8,"Strategic Leadership, Corporate Strategy, Market Research",9,8,Not answered,9,Not opted for creators challenge,9,Not answered,10,I believe a guide or a help book regarding relevant roles would be a beneficial addition,8,Not answered,7,"Did not not get relevant feedback for the opportunities I applied for. Furthermore, students who have already been placed or have secured an internship are also reappearing in the ongoing processes. So the list doesn't move and others do not get shortlisted further.","Vipin sir, Manu sir, Bhupesh sir",More interactive sessions (AMA) so that we get to ask questions that are industry relevant and we get to prep better,9,10,Frat tournaments were engaging,10,Not answered,8,Not answered,9,9,Not answered,9,Not answered,8,Placements process seems a bit unstructured and not transparent. Application tracking and feedback to do better for upcoming opportunities would be appreciated.,Industry readiness sessions were excellent and more informative than CXO sessions. More sessions covering every industry in depth.,"As discussed during orientation, Students who have been placed or have secured and internship should be given only moonshot opportunities to apply further. It was disheartening to see already placed students secure opportunities and not convert them which we were aiming for. The list gets stuck at one place."
TBM,7,,7,7,7,6,,6,5,5,,,,,6,Garima Chaklader is a very good professor and she knows how to keep students engaged.,5,5,"For certain classes, it would have been helpful if online attendance were permitted for special circumstances.",4,"Seemed like a lot of things were being dumped, and rather than teaching on hoe to get done.",5,Additions on sdding more know-hows and providing mentors for the tasks.,4,"Would be better if they helped nourish and have more classes instead of making it intimidating, which makes us hesitant.",4,Allot a career coach for students.,6,They were good overall with sending or making students aware of the job. Decent.,"Bhupesh Manoharan for not just being theoretical, but also brinhinb life examples to the classroom.","Haven’t really attended much, but a good job otherwise.",5,6,"It has always felt that the faculty, and the entire MU family, are very attentive to what students want and genuinely try to cater to the needs of individual students, not just the masses.",6,"Better management, which I am sure everyone in the team is trying to work on, but probably needs more push.",6,"I haven't as much availed the service, which I should.",6,6,"Have more mentors from different backgrounds- Fashion, Entertainment, Lifestyle to imbibe more know-hows from the experts.",6,"Pop up notifications or rings if there is something important even without us opening the app, just so that we don't miss on anything that might be important.",5,"This is not to place blame on the team or anyone else; rather, it reflects my own difficulty in maintaining focus. I would appreciate being pushed a bit more so I can better understand and realise my potential.","Be more stricter like how it was in Term 1, so that we are always on our toes and not leave much leeway. Keep us busy, engaged and keep us on a chokehold so that we realise that nothing comes easy.","Be on everyone's throat to be at their best, from A to Z."
TBM,9,,9,,,,,10,,,9,8,8,,10,Rajat mathur - leadership lab,9,9,"good courses, curriculum is apt to include in our cv",7,yes it did. on my part i did not do a lot for the challenge but curriculum was good,8,good industry visits - maybe we can have more of those. great cxo sessions,8,they have. i think i would still prefer to have more availability of experienced folks like vidhu,8,Not answered,8,Not answered,rajat mathur - leadership lap. the guy comes with great experience and the delivery of his content is too good. something that should def be taught,Not answered,9,9,everyone supporting - specially faculty with any doubts we have,9,Not answered,9,Not answered,9,9,"some mentors do not check the platform even after mentioning time and date at a later date. if they're not available then the name should not be there as it is a tedious process to book a slot. it would be more helpful to see more folks from d2c and marketing domain, influencer marketing, branding, etc.",9,Not answered,8,"few faculty (rajat sir, bhupesh sir), mentor union (availability of 1/2 mentors), student engagement is good","club events are engaging, helps to take the stress off - specially sports.","maybe we can work on the placement process a bit. if i have applied for a job, i should get regular updates about it. more real companies reaching out/coming to campus and less linkedin postings. ctc packages are great."
